;X;Y;Z;Rf;Gf;Bf;Af
1;-0.35751076;0.90316971;0.06908995;0.439216;0.835294;0.729412;1
2;-1.42788048;0.14816006;0.98931008;0.0823529;0.227451;0.129412;1
3;-0.36271019;0.88758953;0.46292001;0.282353;0.984314;0.992157;1
4;-0.45514030;0.66251953;0.72345000;0.329412;0.533333;0.427451;1
5;-0.86226006;0.20722015;1.25384003;0.466667;0.329412;0.27451;1
6;-1.29110069;0.76474007;1.28940993;0.34902;0.301961;0.239216;1
7;-0.37247009;2.08623989;0.49967009;0.337255;0.866667;0.694118;1
8;-0.83742065;0.21914013;1.26148993;0.466667;0.345098;0.290196;1
9;-1.14609070;0.69275959;1.29059011;0.407843;0.313725;0.239216;1
10;-0.59538956;0.71284016;0.34901005;0.305882;0.592157;0.513725;1
11;-0.30552025;2.06581028;0.02168995;0.262745;0.737255;0.545098;1
12;-0.42930908;0.69610985;0.58733994;0.439216;0.988235;0.988235;1
13;-0.34195061;1.89000996;1.29224998;0.321569;0.984314;0.972549;1
14;-0.37633057;0.23423965;1.26226002;0.603922;0.556863;0.505882;1
15;-0.36872978;0.87741955;0.99282008;0.368627;0.74902;0.603922;1
16;-0.46479912;0.66778954;1.04340011;0.231373;0.478431;0.411765;1
17;-0.52572937;0.68488987;0.17408997;0.341176;0.588235;0.521569;1
18;-0.30684967;2.09694965;0.18206995;0.121569;0.498039;0.333333;1
19;-0.04395981;0.54794987;1.29583007;0.572549;0.647059;0.619608;1
20;-0.36319084;0.88566978;0.19780999;0.470588;0.878431;0.772549;1
21;-0.36960907;0.86567028;0.02538997;0.447059;0.811765;0.701961;1
22;-0.74229927;0.76719959;0.48762995;0.262745;0.572549;0.494118;1
23;-0.15616913;0.66539009;1.25685006;0.482353;0.709804;0.635294;1
24;-0.99708099;0.76157959;1.05142003;0.262745;0.415686;0.27451;1
25;-1.99916954;0.91061981;1.28538996;0.278431;0.172549;0.141176;1
26;-0.35666008;0.90752991;0.12418002;0.443137;0.827451;0.760784;1
27;-0.63498039;0.72556026;1.14656001;0.313725;0.423529;0.372549;1
28;-0.65520973;0.73470028;0.53206998;0.266667;0.6;0.509804;1
29;-0.85994072;0.50986012;1.28640991;0.482353;0.372549;0.298039;1
30;-0.97800941;0.80809982;0.66325003;0.14902;0.392157;0.329412;1
31;-0.44756050;0.66168030;0.02239996;0.737255;0.721569;0.635294;1
32;-1.17845078;0.83527000;0.73041993;0.290196;0.286275;0.235294;1
33;-0.88194962;0.14282997;1.28669005;0.501961;0.333333;0.278431;1
34;-0.64301987;2.19567020;0.71538001;0.0470588;0.517647;0.458824;1
35;-0.96112938;0.83218964;0.14073997;0.211765;0.345098;0.262745;1
36;-1.17244072;0.05350025;0.10526997;0.694118;0.282353;0.247059;1
37;-0.37396927;0.85499962;0.42729002;0.294118;1;0.952941;1
38;-1.22796936;0.05756958;1.04342991;0.196078;0.188235;0.12549;1
39;-1.50610085;0.12067039;1.28744989;0.34902;0.219608;0.192157;1
40;-1.19106026;0.52575024;1.28870994;0.439216;0.305882;0.235294;1
41;-0.57179947;0.44709023;1.18665009;0.435294;0.360784;0.298039;1
42;-0.40926094;0.76078995;0.87359005;0.352941;0.819608;0.717647;1
43;-0.77328033;2.22999008;0.34196001;0.286275;0.827451;0.658824;1
44;-0.05174942;1.96051987;0.99702006;0.25098;0.972549;0.980392;1
45;-0.41853065;0.72622974;0.40586000;0.490196;0.976471;0.976471;1
46;-0.41894073;0.73375996;0.61800009;0.278431;1;1;1
47;-0.02562065;0.65170963;1.23140007;0.580392;0.901961;0.878431;1
48;-0.76200981;0.71284969;1.29080993;0.505882;0.364706;0.294118;1
49;-0.13468094;0.74366959;1.23319989;0.552941;1;1;1
50;-0.94052048;0.87197025;0.15963000;0.207843;0.305882;0.270588;1
51;-0.42891998;0.19326027;1.00161010;0.0392157;0.247059;0.203922;1
52;-0.93893929;0.07481964;1.28570992;0.466667;0.321569;0.266667;1
53;-1.02905960;0.02274044;1.29023009;0.427451;0.298039;0.243137;1
54;-0.67192001;0.43688972;1.28747993;0.541176;0.356863;0.286275;1
55;-2.12308044;0.56863983;1.27983004;0.290196;0.101961;0.0862745;1
56;-0.39113922;0.80805977;1.10857993;0.321569;0.996078;0.996078;1
57;-0.02885933;0.22198017;1.29134995;0.670588;0.619608;0.494118;1
58;-1.33208008;0.82775028;1.28830009;0.34902;0.298039;0.235294;1
59;-0.34889908;0.36028965;1.00122005;0.0666667;0.384314;0.329412;1
60;-1.00779076;0.74454029;0.79693013;0.184314;0.254902;0.156863;1
61;-0.13666077;0.69167049;1.23255998;0.556863;1;1;1
62;-0.93102951;0.61380966;1.29014998;0.427451;0.380392;0.298039;1
63;-0.93645973;0.90598019;0.58923012;0.152941;0.341176;0.286275;1
64;-1.38556023;0.12489994;0.92590004;0.14902;0.286275;0.164706;1
65;-0.89701958;0.71181973;1.28999001;0.45098;0.392157;0.309804;1
66;-0.45186920;2.13309010;0.85467010;0.176471;0.847059;0.666667;1
67;-0.52871056;0.69096001;0.94230991;0.258824;0.478431;0.4;1
68;-0.64606972;0.24059017;1.05465990;0.0117647;0.345098;0.270588;1
69;-0.83695908;0.54986008;1.28736001;0.494118;0.376471;0.301961;1
70;-0.99319954;0.75955017;0.62436014;0.160784;0.392157;0.341176;1
71;-0.96898003;0.17480000;1.28725010;0.490196;0.313725;0.258824;1
72;-1.19695015;0.49382027;1.28322011;0.411765;0.313725;0.243137;1
73;-1.24533958;0.07647045;0.96527010;0.156863;0.282353;0.176471;1
74;-0.36945076;0.86905010;0.59460002;0.262745;0.988235;1;1
75;-0.63088913;0.61991985;1.28645998;0.529412;0.388235;0.333333;1
76;-0.84089966;0.49788006;1.28466993;0.533333;0.372549;0.298039;1
77;-0.65430946;0.71636971;1.16206008;0.141176;0.380392;0.329412;1
78;-0.42018051;0.73771008;0.96612006;0.329412;0.639216;0.552941;1
79;-0.37135048;0.86413963;0.15738004;0.482353;0.839216;0.760784;1
80;-0.35888023;1.45001991;1.28878003;0.411765;0.866667;0.760784;1
81;-0.64996071;0.07083996;1.28967005;0.592157;0.403922;0.34902;1
82;-0.70485039;0.75290020;0.51425010;0.258824;0.572549;0.501961;1
83;-0.15482063;0.84303959;1.28796011;0.529412;1;1;1
84;-0.18476982;0.62384041;1.04470998;0.0470588;0.92549;0.909804;1
85;-0.47832031;1.62988956;1.21235996;0.184314;1;1;1
86;-0.75182076;0.77091034;0.51248008;0.258824;0.568627;0.490196;1
87;-0.62956924;2.19989021;1.12682992;0.231373;0.976471;0.780392;1
88;-0.29984016;0.27696999;1.28735000;0.694118;0.611765;0.545098;1
89;-0.37419052;0.85579021;0.10121006;0.435294;0.854902;0.74902;1
90;-1.07701035;0.30577953;1.28753000;0.439216;0.294118;0.239216;1
91;-0.39381905;0.80451019;0.46829992;0.278431;0.882353;0.862745;1
92;-0.35896034;0.90476997;0.61924010;0.219608;0.996078;1;1
93;-0.31282921;2.09552010;0.13291996;0.137255;0.529412;0.352941;1
94;-1.08541985;0.01148041;0.53771001;0.0235294;0.113725;0.152941;1
95;-0.44817085;2.14993008;0.86893993;0.168627;0.792157;0.701961;1
96;-0.20505066;-0.00491993;1.10598999;0.0313725;0.984314;0.933333;1
97;-1.30354996;0.09486015;0.15704006;0.0745098;0.286275;0.184314;1
98;-0.24348946;0.48497971;1.03087002;0.0196078;0.611765;0.588235;1
99;-0.95275993;0.84239967;0.12301999;0.443137;0.482353;0.364706;1
100;-1.14902992;0.26375969;1.28754002;0.466667;0.298039;0.243137;1
101;-0.10600014;0.58792980;1.29701000;0.596078;0.717647;0.654902;1
102;-1.13316078;0.04065998;0.09192997;0.0862745;0.301961;0.215686;1
103;-1.17802925;0.06373985;1.28761011;0.411765;0.270588;0.215686;1
104;-0.41626091;0.74569996;0.53716999;0.32549;1;0.984314;1
105;-0.96996994;0.14480026;1.28688007;0.482353;0.32549;0.270588;1
106;-0.19592972;0.49193962;1.29302007;0.639216;0.65098;0.564706;1
107;-1.09171982;0.00663002;0.69656998;0.027451;0.0470588;0.0862745;1
108;-2.14614983;1.06163033;1.28308993;0.286275;0.172549;0.137255;1
109;-0.35751077;0.90316971;0.06908995;0.439216;0.835294;0.729412;1
110;-1.42788049;0.14816006;0.98931008;0.0823529;0.227451;0.129412;1
111;-0.36271019;0.88758953;0.46292001;0.282353;0.984314;0.992157;1
112;-0.45514030;0.66251953;0.72345000;0.329412;0.533333;0.427451;1
113;-0.86226006;0.20722015;1.32497983;0.466667;0.329412;0.27451;1
114;-1.29110070;0.76474007;1.36054973;0.34902;0.301961;0.239216;1
115;-0.130237121;2.08623990;0.49967009;0.337255;0.866667;0.694118;1
116;-0.176732177;0.21914013;1.31969029;0.466667;0.345098;0.290196;1
117;-1.14609071;0.69275959;1.34879047;0.407843;0.313725;0.239216;1
118;-0.59538956;0.71284016;0.34901005;0.305882;0.592157;0.513725;1
119;-0.30552025;2.06581029;0.02168995;0.262745;0.737255;0.545098;1
120;-0.42930908;0.69610985;0.58733994;0.439216;0.988235;0.988235;1
121;-0.34195061;1.89000996;1.23227006;0.321569;0.984314;0.972549;1
122;-0.37633057;0.23423965;1.20228010;0.603922;0.556863;0.505882;1
123;-0.36872978;0.87741955;0.99282008;0.368627;0.74902;0.603922;1
124;-0.46479912;0.66778954;1.04340012;0.231373;0.478431;0.411765;1
125;-0.52572937;0.68488987;0.19004993;0.341176;0.588235;0.521569;1
126;-0.30684967;2.09694966;0.19802991;0.121569;0.498039;0.333333;1
127;-0.04395981;0.54794987;1.29583008;0.572549;0.647059;0.619608;1
128;-0.36319084;0.88566978;0.19780999;0.470588;0.878431;0.772549;1
129;-0.36960907;0.86567028;0.02538997;0.447059;0.811765;0.701961;1
130;-0.74229927;0.76719959;0.48762995;0.262745;0.572549;0.494118;1
131;-0.15616913;0.66539009;1.25685006;0.482353;0.709804;0.635294;1
132;-0.99708099;0.76157959;1.05142003;0.262745;0.415686;0.27451;1
133;-1.99916955;0.91061981;1.28538996;0.278431;0.172549;0.141176;1
134;-0.35666008;0.90752991;0.12418002;0.443137;0.827451;0.760784;1
135;-0.63498039;0.72556026;1.14656002;0.313725;0.423529;0.372549;1
136;-0.65520973;0.73470028;0.53206998;0.266667;0.6;0.509804;1
137;-0.85994072;0.50986012;1.28640992;0.482353;0.372549;0.298039;1
138;-0.97800941;0.80809982;0.66325003;0.14902;0.392157;0.329412;1
139;-0.44756050;0.66168030;0.02239996;0.737255;0.721569;0.635294;1
140;-1.17845079;0.83527000;0.73041993;0.290196;0.286275;0.235294;1
141;-0.88194962;0.14282997;1.28669006;0.501961;0.333333;0.278431;1
142;-0.64301987;2.19567021;0.71538001;0.0470588;0.517647;0.458824;1
143;-0.96112938;0.83218964;0.14073997;0.211765;0.345098;0.262745;1
